Name;Group;Indication
romiplostim;Antihemorrhagics;Adults: Nplate is indicated for the treatment of primary immune thrombocytopenia  (ITP) in adult patients who are refractory to other treatments (e.g. corticosteroids, immunoglobulins). Paediatrics: Nplate is indicated for the treatment of chronic primary immune thrombocytopenia (ITP) in paediatric patients one year of age and older who are refractory to other treatments (e.g. corticosteroids, immunoglobulins).
andexanet alfa;All other therapeutic products;For adult patients treated with a direct factor Xa (FXa) inhibitor (apixaban or rivaroxaban) when reversal of anticoagulation is needed due to life-threatening or uncontrolled bleeding.
siponimod;Selective immunosuppressants;Mayzent is indicated for the treatment of adult patients with secondary progressive multiple sclerosis (SPMS) with active disease evidenced by relapses or imaging features of inflammatory activity.
icatibant;Cardiac therapy;Firazyr is indicated for symptomatic treatment of acute attacks of hereditary angioedema (HAE) in adults (with C1-esterase-inhibitor deficiency).
5-aminolevulinic acid hydrochloride;Antineoplastic agents;"Treatment of actinic keratosis of mild to moderate severity on the face and scalp (Olsen grade 1 to 2; see section 5.1) and of field cancerization in adults. Treatment of superficial and/or nodular basal cell carcinoma unsuitable for surgical treatment due to possible treatment-related morbidity and/or poor cosmetic outcome in adults."
abemaciclib;Antineoplastic agents;Early Breast Cancer Verzenios in combination with endocrine therapy is indicated for the adjuvant treatment of adult patients with hormone receptor (HR) positive, human epidermal growth factor receptor 2 (HER2) negative, node positive early breast cancer at high risk of recurrence (see section 5.1). In pre or perimenopausal women, aromatase inhibitor endocrine therapy should be combined with a luteinising hormone-releasing hormone (LHRH) agonist. Advanced or Metastatic Breast Cancer Verzenios is indicated for the treatment of women with hormone receptor (HR) positive, human epidermal growth factor receptor 2 (HER2) negative locally advanced or metastatic breast cancer in combination with an aromatase inhibitor or fulvestrant as initial endocrine-based therapy, or in women who have received prior endocrine therapy. In pre- or perimenopausal women, the endocrine therapy should be combined with a LHRH agonist.
elacestrant;Endocrine therapy;Orserdu monotherapy is indicated for the treatment of postmenopausal women, and men, with estrogen receptor (ER) positive, HER2-negative, locally advanced or metastatic breast cancer with an activating ESR1 mutation who have disease progression following at least one line of endocrine therapy including a CDK 4/6 inhibitor.
acalabrutinib;Antineoplastic agents;Calquence as monotherapy or in combination with obinutuzumab is indicated for the treatment of adult patients with previously untreated chronic lymphocytic leukaemia (CLL).Calquence in combination with venetoclax with or without obinutuzumab is indicated for the treatment of adult patients with previously untreated chronic lymphocytic leukaemia (CLL).Calquence as monotherapy is indicated for the treatment of adult patients with chronic lymphocytic leukaemia (CLL) who have received at least one prior therapy.Calquence in combination with bendamustine and rituximab (BR) is indicated for the treatment of adult patients with previously untreated mantle cell lymphoma (MCL) who are not eligible for autologous stem cell transplant (ASCT).Calquence as monotherapy is indicated for the treatment of adult patients with relapsed or refractory mantle cell lymphoma (MCL) not previously treated with a BTK inhibitor.
respiratory syncytial virus vaccine (bivalent, recombinant);Vaccines;"Abrysvo is indicated for:  Passive protection against lower respiratory tract disease caused by respiratory syncytial virus (RSV) in infants from birth through 6 months of age following maternal immunisation during pregnancy.&nbsp; Active immunisation of individuals 18 years of age and older for the prevention of lower respiratory tract disease caused by RSV.  The use of this vaccine should be in accordance with official recommendations."
meningococcal group A, C, W-135 and Y conjugate vaccine;Bacterial vaccines;Vials Menveo is indicated for active immunisation of children (from two years of age), adolescents and adults at risk of exposure to Neisseria meningitidis groups A, C, W135 and Y, to prevent invasive disease. The use of this vaccine should be in accordance with official recommendations.
diphtheria, tetanus, pertussis (acellular, component), hepatitis B (rDNA), poliomyelitis (inactivated) and Haemophilus type b conjugate vaccine (adsorbed);Vaccines;Vaxelis (DTaP-HB-IPV-Hib) is indicated for primary and booster vaccination in infants and toddlers from the age of 6 weeks, against diphtheria, tetanus, pertussis, hepatitis B, poliomyelitis and invasive diseases caused by Haemophilus influenzae type b (Hib). The use of Vaxelis should be in accordance with official recommendations.
amikacin;Antibacterials for systemic use;Arikayce liposomal is indicated for the treatment of non-tuberculous mycobacterial (NTM) lung infections caused by Mycobacterium avium Complex (MAC) in adults with limited treatment options who do not have cystic fibrosis.
risperidone;Psycholeptics;Treatment of schizophrenia in adults for whom tolerability and effectiveness has been established with oral risperidone.
COVID-19 mRNA vaccine;Vaccines;"Spikevax is indicated for active immunisation to prevent COVID-19 caused by SARS-CoV-2 in individuals 6 months of age and older. The use of this vaccine should be in accordance with official recommendations. Spikevax bivalent Original/Omicron BA.1 is indicated for active immunisation to prevent COVID-19 caused by SARS-CoV-2 in individuals 6 years of age and older who have previously received at least a primary vaccination course against COVID-19. The use of this vaccine should be in accordance with official recommendations. Spikevax bivalent Original/Omicron BA.4-5 is indicated for active immunisation to prevent COVID-19 caused by SARS-CoV-2 in individuals 6 months of age and older.&nbsp;The use of this vaccine should be in accordance with official recommendations. Spikevax XBB.1.5 is indicated for active immunisation to prevent COVID-19 caused by SARS-CoV-2 in individuals 6 months of age and older. Spikevax JN.1 is indicated for active immunisation to prevent COVID-19 caused by SARS-CoV-2 in individuals 6 months of age and older.&nbsp;The use of this vaccine should be in accordance with official recommendations. Spikevax JN.1 is indicated for active immunisation to prevent COVID-19 caused by SARS-CoV-2 in individuals 6 months of age and older.&nbsp;The use of this vaccine should be in accordance with official recommendations. Spikevax LP.8.1 is indicated for active immunisation to prevent COVID 19 caused by SARS-CoV-2 in individuals 6 months of age and older. The use of this vaccine should be in accordance with official recommendations."
canakinumab;Interleukin inhibitors;Periodic fever syndromes Ilaris is indicated for the treatment of the following autoinflammatory periodic fever syndromes in adults, adolescents and children aged 2 years and older: Cryopyrin-associated periodic syndromes Ilaris is indicated for the treatment of cryopyrin-associated periodic syndromes (CAPS) including:  Muckle-Wells syndrome (MWS), Neonatal-onset multisystem inflammatory disease (NOMID) / chronic infantile neurological, cutaneous, articular syndrome (CINCA), Severe forms of familial cold autoinflammatory syndrome (FCAS) / familial cold urticaria (FCU) presenting with signs and symptoms beyond cold-induced urticarial skin rash.  Tumour necrosis factor receptor associated periodic syndrome (TRAPS) Ilaris is indicated for the treatment of tumour necrosis factor (TNF) receptor associated periodic syndrome (TRAPS). Hyperimmunoglobulin D syndrome (HIDS)/mevalonate kinase deficiency (MKD) Ilaris is indicated for the treatment of hyperimmunoglobulin D syndrome (HIDS)/mevalonate kinase deficiency (MKD). Familial Mediterranean fever (FMF) Ilaris is indicated for the treatment of Familial Mediterranean Fever (FMF). Ilaris should be given in combination with colchicine, if appropriate. Ilaris is also indicated for the treatment of: Still’s disease Ilaris is indicated for the treatment of active Still’s disease including adult-onset Still’s disease (AOSD) and systemic juvenile idiopathic arthritis (SJIA) in patients aged 2 years and older who have responded inadequately to previous therapy with non-steroidal anti-inflammatory drugs (NSAIDs) and systemic corticosteroids. Ilaris can be given as monotherapy or in combination with methotrexate. Gouty arthritis Ilaris is indicated for the symptomatic treatment of adult patients with frequent gouty arthritis attacks (at least 3 attacks in the previous 12 months) in whom non-steroidal anti-inflammatory drugs (NSAIDs) and colchicine are contraindicated, are not tolerated, or do not provide an adequate response, and in whom repeated courses of corticosteroids are not appropriate.
lumasiran;Other alimentary tract and metabolism products;Treatment of primary hyperoxaluria type 1 (PH1) in all age groups.
micafungin;Antimycotics for systemic use;"Mycamine is indicated for: Adults, adolescents ≥ 16 years of age and elderly  treatment of invasive candidiasis; treatment of oesophageal candidiasis in patients for whom intravenous therapy is appropriate; prophylaxis of Candida infection in patients undergoing allogeneic haematopoietic stem-cell transplantation or patients who are expected to have neutropenia (absolute neutrophil count &lt; 500 cells/µl) for 10 or more days.  Children (including neonates) and adolescents &lt; 16 years of age  treatment of invasive candidiasis. prophylaxis of Candida infection in patients undergoing allogeneic haematopoietic stem-cell transplantation or patients who are expected to have neutropenia (absolute neutrophil count &lt; 500 cells/µl) for 10 or more days.  The decision to use Mycamine should take into account a potential risk for the development of liver tumours. Mycamine should therefore only be used if other antifungals are not appropriate."
eltrombopag;Antihemorrhagics;Eltrombopag Accord is indicated for the treatment of adult patients with primary immune thrombocytopenia (ITP) who are refractory to other treatments (e.g. corticosteroids, immunoglobulins).Eltrombopag Accord is indicated for the treatment of paediatric patients aged 1 year and above with primary immune thrombocytopenia (ITP) lasting 6 months or longer from diagnosis and who are refractory to other treatments (e.g. corticosteroids, immunoglobulins).Eltrombopag Accord is indicated in adult patients with chronic hepatitis C virus (HCV) infection for the treatment of thrombocytopenia, where the degree of thrombocytopenia is the main factor preventing the initiation or limiting the ability to maintain optimal interferon-based therapy.
teriparatide;Calcium homeostasis;Teriparatide SUN is indicated in adults. Treatment of osteoporosis in postmenopausal women and in men at increased risk of fracture (see section 5.1). In postmenopausal women, a significant reduction in the incidence of vertebral and non-vertebral fractures but not hip fractures has been demonstrated. Treatment of osteoporosis associated with sustained systemic glucocorticoid therapy in women and men at increased risk for fracture (see section 5.1).
ciltacabtagene autoleucel;;Carvykti is indicated for the treatment of adult patients with relapsed and refractory multiple myeloma, who have received at least one prior therapy, including an immunomodulatory agent and a proteasome inhibitor have demonstrated disease progression on the last therapy, and are refractory to lenalidomide.
COVID-19 mRNA vaccine;Vaccines;Comirnaty Omicron XBB.1.5 dispersion for injection is indicated for active immunisation to prevent COVID-19 caused by SARS-CoV-2 in individuals 5 years of age and older. The use of this vaccine should be in accordance with official recommendations. Comirnaty Omicron XBB.1.5 concentrate for dispersion for injection is indicated for active immunisation to prevent COVID-19 caused by SARS-CoV-2 in infants and children aged 6 months to 11 years. The use of this vaccine should be in accordance with official recommendations. Comirnaty JN.1 dispersion for injection is indicated for active immunisation to prevent COVID-19 caused by SARS-CoV-2 in individuals 5 years of age and older. The use of this vaccine should be in accordance with official recommendations. Comirnaty JN.1 concentrate for dispersion for injection is indicated for active immunisation to prevent COVID-19 caused by SARS-CoV-2 in infants and children aged 6 months to 11 years. The use of this vaccine should be in accordance with official recommendations. Comirnaty KP.2 dispersion for injection is indicated for active immunisation to prevent COVID-19 caused by SARS-CoV-2 in individuals 5 years of age and older. The use of this vaccine should be in accordance with official recommendations. Comirnaty KP.2 concentrate for dispersion for injection is indicated for active immunisation to prevent COVID-19 caused by SARS-CoV-2 in infants and children aged 6 months to 4 years. The use of this vaccine should be in accordance with official recommendations. Comirnaty LP.8.1 dispersion for injection is indicated for active immunisation to prevent COVID-19 caused by SARS-CoV-2 in individuals 5 years of age and older. The use of this vaccine should be in accordance with official recommendations. Comirnaty LP.8.1 concentrate for dispersion for injection is indicated for active immunisation to prevent COVID-19 caused by SARS-CoV-2 in infants and children aged 6 months to 4 years. The use of this vaccine should be in accordance with official recommendations.
fulvestrant;Endocrine therapy;Fulvestrant is indicated for the treatment of estrogen receptor positive, locally advanced or metastatic breast cancer in postmenopausal women:  not previously treated with endocrine therapy, or with disease relapse on or after adjuvant anti-estrogen therapy, or disease progression on antiestrogen therapy.
galcanezumab;"Analgesics;galcanezumab";Emgality is indicated for the prophylaxis of migraine in adults who have at least 4 migraine days per month.
ozanimod;Immunosuppressants;Multiple sclerosis  Zeposia is indicated for the treatment of adult patients with relapsing remitting multiple sclerosis (RRMS) with active disease as defined by clinical or imaging features.  Ulcerative colitis  Zeposia is indicated for the treatment of adult patients with moderately to severely active ulcerative colitis (UC) who have had an inadequate response, lost response, or were intolerant to either conventional therapy or a biologic agent.
human papillomavirus 9-valent vaccine (recombinant, adsorbed);Papillomavirus vaccines;Gardasil 9 is indicated for active immunisation of individuals from the age of 9 years against the following HPV diseases:  Premalignant lesions and cancers affecting the cervix, vulva, vagina and anus caused by vaccine HPV types Genital warts (Condyloma acuminata) caused by specific HPV types.  See sections 4.4 and 5.1 for important information on the data that support these indications. The use of Gardasil 9 should be in accordance with official recommendations.
adagrasib;Other antineoplastic agents;Krazati as monotherapy is indicated for the treatment of adult patients with advanced non-small cell lung cancer (NSCLC) with KRAS G12C mutation and disease progression after at least one prior systemic therapy.
loxapine;Nervous system;Adasuve is indicated for the rapid control of mild-to-moderate agitation in adult patients with schizophrenia or bipolar disorder. Patients should receive regular treatment immediately after control of acute agitation symptoms.
afatinib;Antineoplastic agents;"Giotrif as monotherapy is indicated for the treatment of  Epidermal Growth Factor Receptor (EGFR) TKI-naïve adult patients with locally advanced or metastatic non-small cell lung cancer (NSCLC) with activating EGFR mutation(s); locally advanced or metastatic NSCLC of squamous histology progressing on or after platinum-based chemotherapy."
memantine;Other anti-dementia drugs;Treatment of patients with moderate to severe Alzheimer’s disease.
adalimumab;Immunosuppressants;Please refer to the product information document.
ublituximab;Immunosuppressants;Briumvi is indicated for the treatment of adult patients with relapsing forms of multiple sclerosis (RMS) with active disease defined by clinical or imaging features.
aflibercept;Antineoplastic agents;Treatment of metastatic colorectal cancer (MCRC).
alectinib;Antineoplastic agents;"Adjuvant treatment of resected non small cell lung cancer (NSCLC)&nbsp;Alecensa as monotherapy is indicated as adjuvant treatment following complete tumour resection for adult patients with ALK positive NSCLC at high risk of recurrence (see section 5.1 for selection criteria).Treatment of advanced NSCLCAlecensa as monotherapy is indicated for the first line treatment of adult patients with ALK positive advanced NSCLC.Alecensa as monotherapy is indicated for the treatment of adult patients with ALK positive advanced NSCLC previously treated with crizotinib."
sebetralstat;Other hematological agents;"Ekterly is indicated for symptomatic treatment of acute attacks of hereditary angioedema (HAE) in adults and adolescents aged 12 years and older.&nbsp;"
"indacaterol;mometasone";Drugs for obstructive airway diseases;Bemrist Breezhaler is indicated as a maintenance   treatment of asthma in adults and adolescents 12 years of age and older not adequately controlled with inhaled corticosteroids and inhaled short acting beta2-agonists.
nalmefene;Drugs used in alcohol dependence;Selincro is indicated for the reduction of alcohol consumption in adult patients with alcohol dependence who have a high drinking-risk level (see section 5.1), without physical withdrawal symptoms and who do not require immediate detoxification. Selincro should only be prescribed in conjunction with continuous psychosocial support focused on treatment adherence and reducing alcohol consumption. Selincro should be initiated only in patients who continue to have a high drinking-risk level two weeks after initial assessment.
belimumab;Immunosuppressants;"Benlysta is indicated as add-on therapy in patients aged 5 years and older with active, autoantibody-positive systemic lupus erythematosus (SLE) with a high degree of disease activity&nbsp;(e.g., positive anti‑dsDNA and low complement)&nbsp;despite standard therapy. Benlysta is indicated in combination with background immunosuppressive therapies for the treatment of adult patients with active lupus nephritis.Benlysta is indicated as add-on therapy in adult patients with active, autoantibody-positive systemic lupus erythematosus (SLE) with a high degree of disease activity (e.g., positive anti dsDNA and low complement) despite standard therapy."
cinacalcet;Calcium homeostasis;Treatment of secondary hyperparathyroidism (HPT) in patients with end-stage renal disease (ESRD) on maintenance dialysis therapy. Cinacalcet Mylan may be used as part of a therapeutic regimen including phosphate binders and/or vitamin D sterols, as appropriate. Reduction of hypercalcaemia in patients with:  parathyroid carcinoma primary HPT for whom parathyroidectomy  would be indicated on the basis of serum calcium levels (as defined by relevant treatment guidelines), but in whom parathyroidectomy is not clinically appropriate or is contraindicated.  
roflumilast;Drugs for obstructive airway diseases;Daxas is indicated for maintenance treatment of severe chronic obstructive pulmonary disease (COPD) (FEV1 post-bronchodilator less than 50% predicted) associated with chronic bronchitis in adult patients with a history of frequent exacerbations as add-on to bronchodilator treatment.
lenalidomide;Immunosuppressants;Multiple myeloma Lenalidomide Mylan as monotherapy is indicated for the maintenance treatment of adult patients with newly diagnosed multiple myeloma who have undergone autologous stem cell transplantation. Lenalidomide Mylan as combination therapy with dexamethasone, or bortezomib and dexamethasone, or melphalan and prednisone is indicated for the treatment of adult patients with previously untreated multiple myeloma who are not eligible for transplant. Lenalidomide Mylan in combination with dexamethasone is indicated for the treatment of multiple myeloma in adult patients who have received at least one prior therapy. Follicular lymphoma Lenalidomide Mylan in combination with rituximab (anti-CD20 antibody) is indicated for the treatment of adult patients with previously treated follicular lymphoma (Grade 1-3a).
alpelisib;Antineoplastic agents;Piqray is indicated in combination with fulvestrant for the treatment of postmenopausal women, and men, with hormone receptor (HR)-positive, human epidermal growth factor receptor 2 (HER2)-negative, locally advanced or metastatic breast cancer with a PIK3CA mutation after disease progression following endocrine therapy as monotherapy (see section 5.1).
pomalidomide;Immunosuppressants;Imnovid in combination with bortezomib and dexamethasone is indicated in the treatment of adult patients with multiple myeloma who have received at least one prior treatment regimen including lenalidomide. Imnovid in combination with dexamethasone is indicated in the treatment of adult patients with relapsed and refractory multiple myeloma who have received at least two prior treatment regimens, including both lenalidomide and bortezomib, and have demonstrated disease progression on the last therapy.
COVID-19 Vaccine (recombinant, adjuvanted);Covid-19 vaccines;Nuvaxovid is indicated for active immunisation to prevent COVID-19 caused by SARS-CoV-2 in individuals 12 years of age and older. The use of this vaccine should be in accordance with official recommendations. Nuvaxovid XBB.1.5 is indicated for active immunisation to prevent COVID-19 caused by SARS-CoV-2 in individuals 12 years of age and older. The use of this vaccine should be in accordance with official recommendations.
delgocitinib;Other dermatological preparations;Anzupgo is indicated for the treatment of moderate to severe chronic hand eczema (CHE)
amivantamab;Antineoplastic agents;"Rybrevant is indicated:  in combination with lazertinib for the first line treatment of adult patients with advanced non small cell lung cancer (NSCLC) with EGFR Exon 19 deletions or Exon 21 L858R substitution mutations. in combination with carboplatin and pemetrexed for the treatment of adult patients with advanced NSCLC with EGFR Exon&nbsp;19 deletions or Exon&nbsp;21 L858R substitution mutations after failure of prior therapy including an EGFR tyrosine kinase inhibitor (TKI). in combination with carboplatin and pemetrexed for the first line treatment of adult patients with advanced NSCLC with activating EGFR Exon 20 insertion mutations. as monotherapy for treatment of adult patients with advanced NSCLC with activating EGFR Exon 20 insertion mutations, after failure of platinum based therapy."
pregabalin;Other analgesics and antipyretics;Neuropathic pain Pregabalin Sandoz is indicated for the treatment of peripheral and central neuropathic pain in adults. Epilepsy Pregabalin Sandoz is indicated as adjunctive therapy in adults with partial seizures with or without secondary generalisation. Generalised Anxiety Disorder Pregabalin Sandoz is indicated for the treatment of Generalised Anxiety Disorder (GAD) in adults.
pneumococcal polysaccharide conjugate vaccine (21-valent);Vaccines;Capvaxive is indicated for active immunisation for the prevention of invasive disease and pneumonia caused by Streptococcus pneumoniae in individuals 18 years of age and older.See sections 4.4 and 5.1 for information on protection against specific pneumococcal serotypes.The use of Capvaxive should be in accordance with official recommendations.
anagrelide;Antineoplastic agents;"Anagrelide Viatris is indicated for the reduction of elevated platelet counts in at risk essential thrombocythaemia (ET) patients who are intolerant to their current therapy or whose elevated platelet counts are not reduced to an acceptable level by their current therapy. An at-risk patient An at-risk essential thrombocythaemia patient is defined by one or more of the following features: • &gt;60 years of age or • a platelet count &gt;1,000 x 10⁹/l or • a history of thrombo-haemorrhagic events."
guselkumab;Immunosuppressants;Plaque psoriasisTremfya is indicated for the treatment of moderate to severe plaque psoriasis in adults who are candidates for systemic therapy.Psoriatic arthritisTremfya, alone or in combination with methotrexate (MTX), is indicated for the treatment of active psoriatic arthritis in adult patients who have had an inadequate response or who have been intolerant to a prior disease-modifying antirheumatic drug (DMARD) therapy.Ulcerative colitisTremfya is indicated for the treatment of adult patients with moderately to severely active ulcerative colitis who have had an inadequate response, lost response, or were intolerant to either conventional therapy, or a biologic treatment.Crohn’s diseaseTremfya is indicated for the treatment of adult patients with moderately to severely active Crohn’s disease who have had an inadequate response, lost response, or were intolerant to either conventional therapy or a biologic treatment.
anagrelide;Antineoplastic agents;"Xagrid is indicated for the reduction of elevated platelet counts in at-risk essential-thrombocythaemia (ET) patients who are intolerant to their current therapy or whose elevated platelet counts are not reduced to an acceptable level by their current therapy. An at-risk patient An at-risk ET is defined by one or more of the following features:  &gt;60 years of age or; a platelet count &gt;1000 x 109/l or; a history of thrombohaemorrhagic events."
lanadelumab;Other hematological agents;Takhzyro is indicated for routine prevention of recurrent attacks of hereditary angioedema (HAE) in patients aged 2 years and older.
