Name;Tradename;Disease;Indication;Status;URL;Category
afamelanotide;Scenesse;Protoporphyria, Erythropoietic;Prevention of phototoxicity in adult patients with erythropoietic protoporphyria (EPP).;Authorised;https://www.ema.europa.eu/en/medicines/human/EPAR/scenesse;Human
tirzepatide;Mounjaro;"Diabetes Mellitus, Type 2;Obesity;Overweight";"Type 2 diabetes mellitus Mounjaro is indicated for the treatment of adults with insufficiently controlled type 2 diabetes mellitus as an adjunct to diet and exercise  as monotherapy when metformin is considered inappropriate due to intolerance or contraindications in addition to other medicinal products for the treatment of diabetes.  For study results with respect to combinations, effects on glycaemic control and the populations studied, see sections 4.4, 4.5 and 5.1. Weight management Mounjaro is indicated as an adjunct to a reduced-calorie diet and increased physical activity for weight management, including weight loss and weight maintenance, in adults with an initial Body Mass Index (BMI) of  ≥ 30 kg/m2 (obesity) or  ≥ 27 kg/m2 to &lt; 30 kg/m2 (overweight) in the presence of at least one weight-related comorbid condition (e.g., hypertension, dyslipidaemia, obstructive sleep apnoea, cardiovascular disease, prediabetes, or type 2 diabetes mellitus).";Authorised;https://www.ema.europa.eu/en/medicines/human/EPAR/mounjaro;Human
Belumosudil;Rezurock;Graft vs Host Disease;Treatment of chronic graft-versus-host disease (cGVHD) after failure of at least two prior lines of systemic therapy.;Opinion;https://www.ema.europa.eu/en/medicines/human/EPAR/rezurock;Human
estetrol;Fylrevy;Menopause;Hormone replacement therapy (HRT) for oestrogen deficiency symptoms in postmenopausal women;Opinion;https://www.ema.europa.eu/en/medicines/human/EPAR/fylrevy;Human
lutetium (177Lu) chloride;Ilumira;Radionuclide Imaging;Used only for the radiolabelling of carrier molecules that have been specifically developed and authorised for radiolabelling with Lutetium (177Lu) chloride;Opinion;https://www.ema.europa.eu/en/medicines/human/EPAR/ilumira;Human
semaglutide;Kayshild;"Non-alcoholic Fatty Liver Disease;Liver Cirrhosis";Treatment of non-cirrhotic metabolic dysfunction-associated steatohepatitis with liver fibrosis;Opinion;https://www.ema.europa.eu/en/medicines/human/EPAR/kayshild;Human
"doxecitine;doxribtimine";Kygevvi;Mitochondrial Diseases;Treatment of paediatric and adult patients with thymidine kinase 2 deficiency (TK2d) with an age of symptom onset on or before 12 years;Opinion;https://www.ema.europa.eu/en/medicines/human/EPAR/kygevvi;Human
trivalent influenza vaccine (recombinant, prepared in cell culture);Supemtek;Influenza, Human;Immunisation for the prevention of influenza disease;Opinion;https://www.ema.europa.eu/en/medicines/human/EPAR/supemtek;Human
dulaglutide;Trulicity;Diabetes Mellitus, Type 2;Trulicity is indicated for the treatment of patients 10 years and above with insufficiently controlled type 2 diabetes mellitus as an adjunct to diet and exercise  as monotherapy when metformin is considered inappropriate due to intolerance or contraindications in addition to other medicinal products for the treatment of diabetes.  For study results with respect to combinations, effects on glycaemic control and cardiovascular events, and the populations studied, see sections 4.4, 4.5 and 5.1.;Authorised;https://www.ema.europa.eu/en/medicines/human/EPAR/trulicity;Human
dengue tetravalent vaccine (live, attenuated);Qdenga;Dengue;Qdenga is indicated for the prevention of dengue disease in individuals from 4 years of age. The use of Qdenga should be in accordance with official recommendations.;Authorised;https://www.ema.europa.eu/en/medicines/human/EPAR/qdenga;Human
nusinersen;Spinraza;Muscular Atrophy, Spinal;Spinraza is indicated for the treatment of 5q Spinal Muscular Atrophy.;Authorised;https://www.ema.europa.eu/en/medicines/human/EPAR/spinraza;Human
"buprenorphine;naloxone";Zubsolv;Opioid-Related Disorders;Substitution treatment for opioid drug dependence, within a framework of medical, social and psychological treatment. The intention of the naloxone component is to deter intravenous misuse. Treatment is intended for use in adults and adolescents over 15 years of age who have agreed to be treated for addiction.;Authorised;https://www.ema.europa.eu/en/medicines/human/EPAR/zubsolv;Human
infliximab;Remsima;"Arthritis, Psoriatic;Spondylitis, Ankylosing;Colitis, Ulcerative;Psoriasis;Crohn Disease;Arthritis, Rheumatoid";"Rheumatoid arthritis Remsima, in combination with methotrexate, is indicated for the reduction of signs and symptoms as well as the improvement in physical function in:  adult patients with active disease when the response to disease?modifying antirheumatic drugs (DMARDs), including methotrexate, has been inadequate; adult patients with severe, active and progressive disease not previously treated with methotrexate or other DMARDs.  In these patient populations, a reduction in the rate of the progression of joint damage, as measured by X?ray, has been demonstrated. Adult Crohn’s disease Remsima is indicated for:  treatment of moderately to severely active Crohn’s disease, in adult patients who have not responded despite a full and adequate course of therapy with a corticosteroid and / or an immunosuppressant or who are intolerant to or have medical contraindications for such therapies; treatment of fistulising, active Crohn’s disease, in adult patients who have not responded despite a full and adequate course of therapy with conventional treatment (including antibiotics, drainage and immunosuppressive therapy).  Paediatric Crohn’s disease Remsima is indicated for treatment of severe, active Crohn’s disease in children and adolescents aged six to 17 years, who have not responded to conventional therapy including a corticosteroid, an immunomodulator and primary nutrition therapy; or who are intolerant to or have contraindications for such therapies. Infliximab has been studied only in combination with conventional immunosuppressive therapy. Ulcerative colitis Remsima is indicated for treatment of moderately to severely active ulcerative colitis in adult patients who have had an inadequate response to conventional therapy including corticosteroids and 6?mercaptopurine (6?MP) or azathioprine (AZA), or who are intolerant to or have medical contraindications for such therapies. Paediatric ulcerative colitis Remsima is indicated for treatment of severely active ulcerative colitis in children and adolescents aged six to 17 years, who have had an inadequate response to conventional therapy including corticosteroids and 6?MP or AZA, or who are intolerant to or have medical contraindications for such therapies. Ankylosing spondylitis Remsima is indicated for treatment of severe, active ankylosing spondylitis, in adult patients who have responded inadequately to conventional therapy. Psoriatic arthritis Remsima is indicated for treatment of active and progressive psoriatic arthritis in adult patients when the response to previous DMARD therapy has been inadequate. Remsima should be administered:  in combination with methotrexate; or alone in patients who show intolerance to methotrexate or for whom methotrexate is contraindicated.  Infliximab has been shown to improve physical function in patients with psoriatic arthritis, and to reduce the rate of progression of peripheral joint damage as measured by X?ray in patients with polyarticular symmetrical subtypes of the disease. Psoriasis Remsima is indicated for treatment of moderate to severe plaque psoriasis in adult patients who failed to respond to, or who have a contraindication to, or are intolerant to other systemic therapy including cyclosporine, methotrexate or psoralen ultra-violet A (PUVA).";Authorised;https://www.ema.europa.eu/en/medicines/human/EPAR/remsima;Human
icatibant;Firazyr;Angioedemas, Hereditary;Firazyr is indicated for symptomatic treatment of acute attacks of hereditary angioedema (HAE) in adults (with C1-esterase-inhibitor deficiency).;Authorised;https://www.ema.europa.eu/en/medicines/human/EPAR/firazyr;Human
nitric oxide;INOmax;"Hypertension, Pulmonary;Respiratory Insufficiency";"INOmax, in conjunction with ventilatory support and other appropriate active substances, is indicated:  for the treatment of newborn infants ?34 weeks gestation with hypoxic respiratory failure associated with clinical or echocardiographic evidence of pulmonary hypertension, in order to improve oxygenation and to reduce the need for extracorporeal membrane oxygenation; as part of the treatment of peri- and post-operative pulmonary hypertension in adults and newborn infants, infants and toddlers, children and adolescents, ages 0-17 years in conjunction to heart surgery, in order to selectively decrease pulmonary arterial pressure and improve right ventricular function and oxygenation.";Authorised;https://www.ema.europa.eu/en/medicines/human/EPAR/inomax;Human
insulin lispro;Insulin lispro Sanofi;Diabetes Mellitus;For the treatment of adults and children with diabetes mellitus who require insulin for the maintenance of normal glucose homeostasis. Insulin lispro Sanofi is also indicated for the initial stabilisation of diabetes mellitus.;Authorised;https://www.ema.europa.eu/en/medicines/human/EPAR/insulin-lispro-sanofi;Human
ceritinib;Zykadia;Carcinoma, Non-Small-Cell Lung;Zykadia is indicated for the treatment of adult patients with anaplastic lymphoma kinase (ALK) positive advanced non small cell lung cancer (NSCLC) previously treated with crizotinib.;Authorised;https://www.ema.europa.eu/en/medicines/human/EPAR/zykadia;Human
fondaparinux sodium;Arixtra;"Venous Thrombosis;Pulmonary Embolism;Myocardial Infarction;Angina, Unstable";"1.5-mg/0.3-ml and 2.5-mg/0.5-ml solution for injection Prevention of venous thromboembolic events (VTE) in adults undergoing major orthopaedic surgery of the lower limbs such as hip fracture, major knee surgery or hip-replacement surgery. Prevention of VTE in adults undergoing abdominal surgery who are judged to be at high risk of thromboembolic complications, such as patients undergoing abdominal cancer surgery. Prevention of VTE in adult medical patients who are judged to be at high risk for VTE and who are immobilised due to acute illness such as cardiac insufficiency and / or acute respiratory disorders, and / or acute infectious or inflammatory disease. Treatment of adults with acute symptomatic spontaneous superficial-vein thrombosis of the lower limbs without concomitant deep-vein thrombosis. 2.5-mg/0.5-ml solution for injection Treatment of unstable angina or non-ST-segment-elevation myocardial infarction (UA/NSTEMI) in adult patients for whom urgent (&lt; 120 mins) invasive management (PCI) is not indicated. infarction (STEMI) in adult patients who are managed with thrombolytics or who initially are to receive no other form of reperfusion therapy. 5-mg/0.4-ml, 7.5-mg/0.6-ml and 10-mg/0.8-ml solution for injection Treatment of adults with acute deep-vein thrombosis (DVT) and treatment of acute pulmonary embolism (PE), except in haemodynamically unstable patients or patients who require thrombolysis or pulmonary embolectomy.";Authorised;https://www.ema.europa.eu/en/medicines/human/EPAR/arixtra;Human
hepatitis B surface antigen;Heplisav B;Hepatitis B;Heplisav B is indicated for the active immunisation against hepatitis B virus infection (HBV) caused by all known subtypes of hepatitis B virus in adults 18 years of age and older. The use of Heplisav B should be in accordance with official recommendations. It can be expected that hepatitis D will also be prevented by immunisation with Heplisav B as hepatitis D (caused by the delta agent) does not occur in the absence of hepatitis B infection.;Authorised;https://www.ema.europa.eu/en/medicines/human/EPAR/heplisav-b;Human
"bictegravir;emtricitabine;tenofovir alafenamide";Biktarvy;HIV Infections;Biktarvy is indicated for the treatment of human immunodeficiency virus 1 (HIV 1) infection in adults and paediatric patients at least 2 years of age and weighing at least 14 kg i without present or past evidence of viral resistance to the integrase inhibitor class, emtricitabine or tenofovir.(see section 5.1);Authorised;https://www.ema.europa.eu/en/medicines/human/EPAR/biktarvy;Human
cetuximab;Erbitux;"Head and Neck Neoplasms;Colorectal Neoplasms";"Erbitux is indicated for the treatment of patients with epidermal growth factor receptor (EGFR)-expressing, RAS wild-type metastatic colorectal cancer:  in combination with irinotecan-based chemotherapy; in first-line in combination with FOLFOX; as a single agent in patients who have failed oxaliplatin- and irinotecan-based therapy and who are intolerant to irinotecan.  For details, see section 5.1. Erbitux is indicated for the treatment of patients with squamous cell cancer of the head and neck:  in combination with radiation therapy for locally advanced disease; in combination with platinum-based chemotherapy for recurrent and/or metastatic disease.";Authorised;https://www.ema.europa.eu/en/medicines/human/EPAR/erbitux;Human
leflunomide;Leflunomide Zentiva (previously Leflunomide Winthrop);"Arthritis, Rheumatoid;Arthritis, Psoriatic";"Leflunomide is indicated for the treatment of adult patients with:  active rheumatoid arthritis as a 'disease-modifying antirheumatic drug' (DMARD); active psoriatic arthritis.  Recent or concurrent treatment with hepatotoxic or haematotoxic DMARDs (e.g. methotrexate) may result in an increased risk of serious adverse reactions; therefore, the initiation of leflunomide treatment has to be carefully considered regarding these benefit / risk aspects. Moreover, switching from leflunomide to another DMARD without following the washout procedure may also increase the risk of serious adverse reactions even for a long time after the switching.";Authorised;https://www.ema.europa.eu/en/medicines/human/EPAR/leflunomide-zentiva;Human
anifrolumab;Saphnelo;Lupus Erythematosus, Systemic;Saphnelo is indicated as an add-on therapy for the treatment of adult patients with moderate to severe, active autoantibody-positive systemic lupus erythematosus (SLE), despite standard therapy.;Authorised;https://www.ema.europa.eu/en/medicines/human/EPAR/saphnelo;Human
pomalidomide;Pomalidomide Teva;Multiple Myeloma;Pomalidomide Teva in combination with bortezomib and dexamethasone is indicated in the treatment of adult patients with multiple myeloma who have received at least one prior treatment regimen including lenalidomide. Pomalidomide Teva in combination with dexamethasone is indicated in the treatment of adult patients with relapsed and refractory multiple myeloma who have received at least two prior treatment regimens, including both lenalidomide and bortezomib, and have demonstrated disease progression on the last therapy.;Authorised;https://www.ema.europa.eu/en/medicines/human/EPAR/pomalidomide-teva;Human
adalimumab;Hukyndra;"Arthritis, Psoriatic;Arthritis, Juvenile Rheumatoid;Arthritis, Rheumatoid;Colitis, Ulcerative;Crohn Disease;Hidradenitis Suppurativa;Psoriasis;Spondylitis, Ankylosing;Uveitis";"Rheumatoid arthritis 			Hukyndra in combination with methotrexate, is indicated for: 			- the treatment of moderate to severe, active rheumatoid arthritis in adult patients when the response to disease-modifying anti-rheumatic drugs (DMARDs) including methotrexate has been inadequate. 			- the treatment of severe, active and progressive rheumatoid arthritis in adults not previously treated with methotrexate. Hukyndra can be given as monotherapy in case of intolerance to methotrexate or when continued treatment with methotrexate is inappropriate. Adalimumab has been shown to reduce the rate of progression of joint damage as measured by X-ray and to improve physical function, when given in combination with methotrexate. Juvenile idiopathic arthritis 			Polyarticular juvenile idiopathic arthritis 			Hukyndra in combination with methotrexate is indicated for the treatment of active polyarticular juvenile idiopathic arthritis, in patients from the age of 2 years who have had an inadequate response to one or more DMARD. Hukyndra can be given as monotherapy in case of intolerance to methotrexate or when continued treatment with methotrexate is inappropriate (for the efficacy in monotherapy see section 5.1). Adalimumab has not been studied in patients aged less than 2 years. Enthesitis-related arthritis 			Hukyndra is indicated for the treatment of active enthesitis-related arthritis in patients, 6 years of age and older, who have had an inadequate response to, or who are intolerant of, conventional therapy (see section 5.1). Axial spondyloarthritis 			Ankylosing spondylitis (AS) 			Hukyndra is indicated for the treatment of adults with severe active AS who have had an inadequate response to conventional therapy. Axial spondyloarthritis without radiographic evidence of AS 			Hukyndra is indicated for the treatment of adults with severe axial spondyloarthritis without radiographic evidence of AS but with objective signs of inflammation by elevated CRP and/or MRI, who have had an inadequate response to, or are intolerant to nonsteroidal anti-inflammatory drugs (NSAIDs). Psoriatic arthritis 			Hukyndra is indicated for the treatment of active and progressive psoriatic arthritis in adults when the response to previous DMARD therapy has been inadequate. Adalimumab has been shown to reduce the rate of progression of peripheral joint damage as measured by X-ray in patients with polyarticular symmetrical subtypes of the disease (see section 5.1) and to improve physical function. Psoriasis 			Hukyndra is indicated for the treatment of moderate to severe chronic plaque psoriasis in adult patients who are candidates for systemic therapy. Paediatric plaque psoriasis 			Hukyndra is indicated for the treatment of severe chronic plaque psoriasis in children and adolescents from 4 years of age who have had an inadequate response to or are inappropriate candidates for topical therapy and phototherapies. Hidradenitis suppurativa (HS) 			Hukyndra is indicated for the treatment of active moderate to severe HS (acne inversa) in adults and adolescents from 12 years of age with an inadequate response to conventional systemic HS therapy (see sections 5.1 and 5.2). Crohn’s disease 			Hukyndra is indicated for treatment of moderately to severely active Crohn’s disease, in adult patients who have not responded despite a full and adequate course of therapy with a corticosteroid and/or an immunosuppressant; or who are intolerant to or have medical contraindications for such therapies. Paediatric Crohn's disease 			Hukyndra is indicated for the treatment of moderately to severely active Crohn's disease in paediatric patients (from 6 years of age) who have had an inadequate response to conventional therapy including primary nutrition therapy and a corticosteroid and/or an immunomodulator, or who are intolerant to or have contraindications for such therapies. Ulcerative colitis 			Hukyndra is indicated for treatment of moderately to severely active ulcerative colitis in adult patients who have had an inadequate response to conventional therapy including corticosteroids and 6-mercaptopurine (6-MP) or azathioprine (AZA), or who are intolerant to or have medical contraindications for such therapies. Paediatric ulcerative colitis 			Hukyndra is indicated for the treatment of moderately to severely active ulcerative colitis in paediatric patients (from 6 years of age) who have had an inadequate response to conventional therapy including corticosteroids and/or 6-mercaptopurine (6-MP) or azathioprine (AZA), or who are intolerant to or have medical contraindications for such therapies. Uveitis 			Hukyndra is indicated for the treatment of non-infectious intermediate, posterior and panuveitis in adult patients who have had an inadequate response to corticosteroids, in patients in need of corticosteroid-sparing, or in whom corticosteroid treatment is inappropriate. Paediatric uveitis 			Hukyndra is indicated for the treatment of paediatric chronic non-infectious anterior uveitis in patients from 2 years of age who have had an inadequate response to or are intolerant to conventional therapy, or in whom conventional therapy is inappropriate.";Authorised;https://www.ema.europa.eu/en/medicines/human/EPAR/hukyndra;Human
selumetinib;Koselugo;Neurofibromatosis 1;Koselugo as monotherapy is indicated for the treatment of symptomatic, inoperable plexiform neurofibromas (PN) in paediatric patients with neurofibromatosis type 1 (NF1) aged 3 years and above;Authorised;https://www.ema.europa.eu/en/medicines/human/EPAR/koselugo;Human
